"Step","unif_pb_2agents_seed1 - 2cover_rate"
"61560000","0.4484"
"61620000","0.46079999999999993"
"61680000","0.46079999999999993"
"61740000","0.4806"
"61800000","0.4406000000000001"
"61860000","0.4534"
"61920000","0.4508"
"61980000","0.436"
"62040000","0.4512"
"62100000","0.4594"
"62160000","0.4496"
"62220000","0.4522"
"62280000","0.4482"
"62340000","0.4492"
"62400000","0.4332"
"62460000","0.4414"
"62520000","0.4196"
"62580000","0.4502"
"62640000","0.4572000000000001"
"62700000","0.4464"
"62760000","0.4596"
"62820000","0.4664"
"62880000","0.4666"
"62940000","0.4728"
"63000000","0.4716"
"63060000","0.4438"
"63120000","0.452"
"63180000","0.46779999999999994"
"63240000","0.4342"
"63300000","0.4546"
"63360000","0.4278"
"63420000","0.448"
"63480000","0.4484"
"63540000","0.4524"
"63600000","0.4562"
"63660000","0.4552000000000001"
"63720000","0.4528"
"63780000","0.4548"
"63840000","0.469"
"63900000","0.464"
"63960000","0.4592"
"64020000","0.4512"
"64080000","0.4528"
"64140000","0.451"
"64200000","0.4676"
"64260000","0.4332"
"64320000","0.4572"
"64380000","0.4458"
"64440000","0.4502"
"64500000","0.4536"
"64560000","0.4494"
"64620000","0.4588"
"64680000","0.4857999999999999"
"64740000","0.463"
"64800000","0.454"
"64860000","0.4528"
"64920000","0.4646"
"64980000","0.4408"
"65040000","0.4684"
"65100000","0.4592"
"65160000","0.457"
"65220000","0.4622"
"65280000","0.47"
"65340000","0.4734"
"65400000","0.4522"
"65460000","0.4662"
"65520000","0.438"
"65580000","0.453"
"65640000","0.471"
"65700000","0.46120000000000005"
"65760000","0.4632"
"65820000","0.463"
"65880000","0.4712"
"65940000","0.4958"
"66000000","0.5027999999999999"
"66060000","0.4762"
"66120000","0.4612"
"66180000","0.4908"
"66240000","0.4772"
"66300000","0.483"
"66360000","0.48120000000000007"
"66420000","0.4678000000000001"
"66480000","0.4585999999999999"
"66540000","0.4626"
"66600000","0.4902"
"66660000","0.478"
"66720000","0.4652"
"66780000","0.4768"
"66840000","0.4616"
"66900000","0.4966"
"66960000","0.4992"
"67020000","0.468"
"67080000","0.4886"
"67140000","0.4868"
"67200000","0.456"
"67260000","0.4706"
"67320000","0.4983999999999999"
"67380000","0.461"
"67440000","0.4894"
"67500000","0.4918"
"67560000","0.4632"
"67620000","0.4842"
"67680000","0.4734"
"67740000","0.496"
"67800000","0.4662"
"67860000","0.46920000000000006"
"67920000","0.4758"
"67980000","0.4718"
"68040000","0.5147999999999999"
"68100000","0.4644"
"68160000","0.4756"
"68220000","0.4854"
"68280000","0.4966"
"68340000","0.4842"
"68400000","0.5028"
"68460000","0.5142"
"68520000","0.486"
"68580000","0.4922"
"68640000","0.4932"
"68700000","0.5018"
"68760000","0.4867999999999999"
"68820000","0.4676"
"68880000","0.5106"
"68940000","0.48120000000000007"
"69000000","0.4816"
"69060000","0.4682"
"69120000","0.4744"
"69180000","0.4644"
"69240000","0.4930000000000001"
"69300000","0.4696"
"69360000","0.4847999999999999"
"69420000","0.5017999999999999"
"69480000","0.4884"
"69540000","0.4896"
"69600000","0.4971999999999999"
"69660000","0.4932"
"69720000","0.4922"
"69780000","0.5004"
"69840000","0.5008"
"69900000","0.492"
"69960000","0.4943999999999999"
"70020000","0.4784"
"70080000","0.4918"
"70140000","0.4876"
"70200000","0.486"
"70260000","0.4916"
"70320000","0.492"
"70380000","0.5044"
"70440000","0.501"
"70500000","0.4714"
"70560000","0.48440000000000005"
"70620000","0.4712"
"70680000","0.5"
"70740000","0.4766"
"70800000","0.501"
"70860000","0.491"
"70920000","0.4796"
"70980000","0.5086"
"71040000","0.5388"
"71100000","0.496"
"71160000","0.497"
"71220000","0.5044000000000001"
"71280000","0.512"
"71340000","0.5032"
"71400000","0.5162"
"71460000","0.4852"
"71520000","0.4948"
"71580000","0.5026"
"71640000","0.4766"
"71700000","0.4632"
"71760000","0.4956"
"71820000","0.5056"
"71880000","0.5158"
"71940000","0.5112"
"72000000","0.5364000000000001"
"72060000","0.5152"
"72120000","0.4983999999999999"
"72180000","0.4746"
"72240000","0.5024"
"72300000","0.5144"
"72360000","0.518"
"72420000","0.5136000000000001"
"72480000","0.5142"
"72540000","0.4948"
"72600000","0.488"
"72660000","0.5142"
"72720000","0.5146"
"72780000","0.47179999999999994"
