"Step","ours-6floor-seed1 - test_lock_rate","ours-6floor-seed1 - test_lock_rate__MIN","ours-6floor-seed1 - test_lock_rate__MAX"
"57657600","1","1","1"
"57751200","0.995","0.995","0.995"
"57844800","1","1","1"
"57938400","1","1","1"
"58032000","1","1","1"
"58125600","1","1","1"
"58219200","1","1","1"
"58312800","1","1","1"
"58406400","1","1","1"
"58500000","0.99","0.99","0.99"
"58593600","1","1","1"
"58687200","1","1","1"
"58780800","1","1","1"
"58874400","0.995","0.995","0.995"
"58968000","1","1","1"
"59061600","1","1","1"
"59155200","1","1","1"
"59248800","1","1","1"
"59342400","0.995","0.995","0.995"
"59436000","1","1","1"
"59529600","0.995","0.995","0.995"
"59623200","1","1","1"
"59716800","0.99","0.99","0.99"
"59810400","1","1","1"
"59904000","1","1","1"
"59997600","1","1","1"
"60091200","0.99","0.99","0.99"
"60184800","0.99","0.99","0.99"
"60278400","1","1","1"
"60372000","1","1","1"
"60465600","1","1","1"
"60559200","1","1","1"
"60652800","1","1","1"
"60746400","0.99","0.99","0.99"
"60840000","1","1","1"
"60933600","1","1","1"
"61027200","1","1","1"
"61120800","1","1","1"
"61214400","1","1","1"
"61308000","1","1","1"
"61401600","0.99","0.99","0.99"
"61495200","1","1","1"
"61588800","0.995","0.995","0.995"
"61682400","0.99","0.99","0.99"
"61776000","1","1","1"
"61869600","1","1","1"
"61963200","0.99","0.99","0.99"
"62056800","0.98","0.98","0.98"
"62150400","1","1","1"
"62244000","1","1","1"
"62337600","1","1","1"
"62431200","1","1","1"
"62524800","1","1","1"
"62618400","0.987","0.987","0.987"
"62712000","1","1","1"
"62805600","1","1","1"
"62899200","0.99","0.99","0.99"
"62992800","1","1","1"
"63086400","0.99","0.99","0.99"
"63180000","1","1","1"
"63273600","1","1","1"
"63367200","0.99","0.99","0.99"
"63460800","1","1","1"
