"Step","reverse-6floor-seed2 - test_success_rate","reverse-6floor-seed2 - test_success_rate__MIN","reverse-6floor-seed2 - test_success_rate__MAX"
"17721600","0.014","0.014","0.014"
"17752800","0.009","0.009","0.009"
"17784000","0.027","0.027","0.027"
"17815200","0.035","0.035","0.035"
"17846400","0.009","0.009","0.009"
"17877600","0.016","0.016","0.016"
"17908800","0.024","0.024","0.024"
"17940000","0.02","0.02","0.02"
"17971200","0.016","0.016","0.016"
"18002400","0.005","0.005","0.005"
"18033600","0.02","0.02","0.02"
"18064800","0.026","0.026","0.026"
"18096000","0.025","0.025","0.025"
"18127200","0.033","0.033","0.033"
"18158400","0.016","0.016","0.016"
"18189600","0.013","0.013","0.013"
"18220800","0.013","0.013","0.013"
"18252000","0.017","0.017","0.017"
"18283200","0.04","0.04","0.04"
"18314400","0.03","0.03","0.03"
"18345600","0.013","0.013","0.013"
"18376800","0.019","0.019","0.019"
"18408000","0.013","0.013","0.013"
"18439200","0.018","0.018","0.018"
"18470400","0.026","0.026","0.026"
"18501600","0.025","0.025","0.025"
"18532800","0.023","0.023","0.023"
"18564000","0.034","0.034","0.034"
"18595200","0.028","0.028","0.028"
"18626400","0.023","0.023","0.023"
"18657600","0.034","0.034","0.034"
"18688800","0.024","0.024","0.024"
"18720000","0.032","0.032","0.032"
"18751200","0.019","0.019","0.019"
"18782400","0.039","0.039","0.039"
"18813600","0.016","0.016","0.016"
"18844800","0.017","0.017","0.017"
"18876000","0.013","0.013","0.013"
"18907200","0.019","0.019","0.019"
"18938400","0.022","0.022","0.022"
"18969600","0.031","0.031","0.031"
"19000800","0.05","0.05","0.05"
"19032000","0.028","0.028","0.028"
"19063200","0.014","0.014","0.014"
"19094400","0.02","0.02","0.02"
"19125600","0.034","0.034","0.034"
"19156800","0.026","0.026","0.026"
"19188000","0.022","0.022","0.022"
"19219200","0.018","0.018","0.018"
"19250400","0.029","0.029","0.029"
"19281600","0.029","0.029","0.029"
"19312800","0.02","0.02","0.02"
"19344000","0.043","0.043","0.043"
"19375200","0.029","0.029","0.029"
"19406400","0.044","0.044","0.044"
"19437600","0.033","0.033","0.033"
"19468800","0.017","0.017","0.017"
"19500000","0.041","0.041","0.041"
"19531200","0.029","0.029","0.029"
"19562400","0.031","0.031","0.031"
