"Step","amigo_pb_teacherhorizon10_seed1 - 4cover_rate_5step"
"58080000","0.298"
"58140000","0.3085"
"58200000","0.3057"
"58260000","0.30689999999999995"
"58320000","0.30460000000000004"
"58380000","0.2974"
"58440000","0.31420000000000003"
"58500000","0.3087"
"58560000","0.31239999999999996"
"58620000","0.312"
"58680000","0.3008"
"58740000","0.3165"
"58800000","0.30939999999999995"
"58860000","0.30670000000000003"
"58920000","0.3102"
"58980000","0.2998"
"59040000","0.3049"
"59100000","0.2987"
"59160000","0.31560000000000005"
"59220000","0.30329999999999996"
"59280000","0.3244"
"59340000","0.30210000000000004"
"59400000","0.31420000000000003"
"59460000","0.30839999999999995"
"59520000","0.305"
"59580000","0.3025"
"59640000","0.3118"
"59700000","0.314"
"59760000","0.306"
"59820000","0.30689999999999995"
"59880000","0.3082"
"59940000","0.3103"
"60000000","0.30910000000000004"
"60060000","0.31360000000000005"
"60120000","0.3079"
"60180000","0.30660000000000004"
"60240000","0.3112"
"60300000","0.31139999999999995"
"60360000","0.32189999999999996"
"60420000","0.30729999999999996"
"60480000","0.30789999999999995"
"60540000","0.30410000000000004"
"60600000","0.3138"
"60660000","0.30160000000000003"
"60720000","0.3216"
"60780000","0.31620000000000004"
"60840000","0.3068"
"60900000","0.31060000000000004"
"60960000","0.3098"
"61020000","0.31139999999999995"
"61080000","0.32080000000000003"
"61140000","0.3182"
"61200000","0.311"
"61260000","0.3118"
"61320000","0.31460000000000005"
"61380000","0.3082"
"61440000","0.3055"
"61500000","0.3148"
"61560000","0.324"
"61620000","0.3287"
"61680000","0.3028"
"61740000","0.31710000000000005"
"61800000","0.31589999999999996"
"61860000","0.3221"
"61920000","0.29810000000000003"
"61980000","0.3123"
"62040000","0.31179999999999997"
"62100000","0.312"
"62160000","0.30360000000000004"
"62220000","0.3142"
"62280000","0.3155"
"62340000","0.31520000000000004"
"62400000","0.32420000000000004"
"62460000","0.31460000000000005"
"62520000","0.31270000000000003"
"62580000","0.32039999999999996"
"62640000","0.3201"
"62700000","0.319"
"62760000","0.3286"
"62820000","0.31589999999999996"
"62880000","0.3202"
"62940000","0.31450000000000006"
"63000000","0.32070000000000004"
"63060000","0.3263"
"63120000","0.3225"
"63180000","0.3325"
"63240000","0.32889999999999997"
"63300000","0.32589999999999997"
"63360000","0.3358"
"63420000","0.319"
"63480000","0.3298"
"63540000","0.32120000000000004"
"63600000","0.3173"
"63660000","0.31939999999999996"
"63720000","0.317"
"63780000","0.3065"
"63840000","0.3201"
"63900000","0.3265"
"63960000","0.31429999999999997"
"64020000","0.30910000000000004"
"64080000","0.31270000000000003"
"64140000","0.33130000000000004"
"64200000","0.31189999999999996"
"64260000","0.3223"
"64320000","0.31379999999999997"
"64380000","0.33659999999999995"
"64440000","0.32230000000000003"
"64500000","0.31610000000000005"
"64560000","0.3135"
"64620000","0.31970000000000004"
"64680000","0.32820000000000005"
"64740000","0.3314"
"64800000","0.3216"
"64860000","0.3183"
"64920000","0.3305"
"64980000","0.3261"
"65040000","0.336"
"65100000","0.31389999999999996"
"65160000","0.3253"
"65220000","0.334"
"65280000","0.3215"
"65340000","0.3197"
"65400000","0.3307999999999999"
"65460000","0.3241"
"65520000","0.3454"
"65580000","0.33620000000000005"
"65640000","0.32720000000000005"
"65700000","0.3172"
"65760000","0.3214"
"65820000","0.32739999999999997"
"65880000","0.323"
"65940000","0.3326"
"66000000","0.341"
"66060000","0.348"
"66120000","0.33829999999999993"
"66180000","0.3365"
"66240000","0.3147"
"66300000","0.34320000000000006"
"66360000","0.3408"
"66420000","0.33179999999999993"
"66480000","0.3465"
"66540000","0.3365"
"66600000","0.345"
"66660000","0.3223"
"66720000","0.3469"
"66780000","0.3474"
"66840000","0.3397"
"66900000","0.33020000000000005"
"66960000","0.33529999999999993"
"67020000","0.3384"
"67080000","0.3331"
"67140000","0.3353"
"67200000","0.3494"
"67260000","0.3426"
"67320000","0.34240000000000004"
"67380000","0.3446"
"67440000","0.34629999999999994"
"67500000","0.3332"
"67560000","0.33690000000000003"
"67620000","0.3392"
"67680000","0.34920000000000007"
"67740000","0.3384"
"67800000","0.3334"
"67860000","0.3329"
"67920000","0.3574"
"67980000","0.359"
"68040000","0.3431"
"68100000","0.35860000000000003"
"68160000","0.3314"
"68220000","0.3429"
"68280000","0.3437"
"68340000","0.33479999999999993"
"68400000","0.3345"
"68460000","0.35029999999999994"
"68520000","0.33720000000000006"
"68580000","0.3424"
"68640000","0.3229"
"68700000","0.3439"
"68760000","0.3359"
"68820000","0.3361"
"68880000","0.346"
"68940000","0.36140000000000005"
"69000000","0.3337"
"69060000","0.34520000000000006"
"69120000","0.34229999999999994"
"69180000","0.3641"
"69240000","0.3536"
"69300000","0.34679999999999994"
"69360000","0.3386"
"69420000","0.348"
"69480000","0.3394"
"69540000","0.35819999999999996"
"69600000","0.339"
"69660000","0.3521"
"69720000","0.34629999999999994"
"69780000","0.3513"
"69840000","0.343"
"69900000","0.3565"
"69960000","0.34790000000000004"
"70020000","0.3568"
